City, Canton, Country, Lat, Lon
Eisenstadt, Burgenland, AT, 47.84565, 16.52327
Mattersburg, Burgenland, AT, 47.73680, 16.39810
Oberwart, Burgenland, AT, 47.28866, 16.20526
Klagenfurt, Kärnten, AT, 46.61667, 14.30000
Sankt Veit an der Glan, Kärnten, AT, 46.76694, 14.35722
Spittal an der Drau, Kärnten, AT, 46.79167, 13.49583
Villach, Kärnten, AT, 46.61833, 13.84833
Wolfsberg, Kärnten, AT, 46.84194, 14.84083
Amstetten, Niederösterreich, AT, 48.10457, 14.85299
Baden, Niederösterreich, AT, 48.00750, 16.23444
Ebreichsdorf, Niederösterreich, AT, 47.96111, 16.40472
Gänserndorf, Niederösterreich, AT, 48.33996, 16.73257
Gmünd, Niederösterreich, AT, 48.76667, 14.98333
Hollabrunn, Niederösterreich, AT, 48.56667, 16.08333
Klosterneuburg, Niederösterreich, AT, 48.30417, 16.31667
Korneuburg, Niederösterreich, AT, 48.34528, 16.33306
Krems, Niederösterreich, AT, 47.85857, 14.10427
Krems an der Donau, Niederösterreich, AT, 48.40940, 15.60500
Mistelbach, Niederösterreich, AT, 48.56667, 16.56667
Mödling, Niederösterreich, AT, 48.08556, 16.28306
Neunkirchen, Niederösterreich, AT, 47.72111, 16.08056
Perchtoldsdorf, Niederösterreich, AT, 48.11667, 16.26667
Retz, Niederösterreich, AT, 48.75369, 15.95716
Schwechat, Niederösterreich, AT, 48.14111, 16.47861
St. Pölten, Niederösterreich, AT, 48.20740, 15.61390
Stockerau, Niederösterreich, AT, 48.38583, 16.21083
Ternitz, Niederösterreich, AT, 47.71384, 16.03399
Tulln, Niederösterreich, AT, 48.32738, 16.06422
Waidhofen an der Ybbs, Niederösterreich, AT, 47.95964, 14.77453
Wiener Neustadt, Niederösterreich, AT, 47.81667, 16.25000
Zwettl, Niederösterreich, AT, 48.60220, 15.16830
Ansfelden, Oberösterreich, AT, 48.20833, 14.28889
Bad Ischl, Oberösterreich, AT, 47.71220, 13.62730
Enns, Oberösterreich, AT, 47.32611, 13.35278
Gmunden, Oberösterreich, AT, 47.91806, 13.79944
Linz, Oberösterreich, AT, 48.30583, 14.28639
Marchtrenk, Oberösterreich, AT, 48.19167, 14.11056
Ried im Innkreis, Oberösterreich, AT, 48.20045, 13.48829
Schärding, Oberösterreich, AT, 48.46346, 13.44257
Steyr, Oberösterreich, AT, 48.05000, 14.41667
Traun, Oberösterreich, AT, 47.65080, 13.94690
Vöcklabruck, Oberösterreich, AT, 48.00861, 13.65583
Wels, Oberösterreich, AT, 48.15000, 14.01667
Bischofshofen, Salzburg, AT, 47.41002, 13.21713
Hallein, Salzburg, AT, 47.66667, 13.08333
Saalfelden, Salzburg, AT, 47.42656, 12.84807
Salzburg, Salzburg, AT, 47.80000, 13.04500
Seekirchen am Wallersee, Salzburg, AT, 47.90000, 13.13333
Zell am See, Salzburg, AT, 47.32333, 12.79806
Bruck an der Mur, Steiermark, AT, 47.41350, 15.27910
Graz, Steiermark, AT, 47.07493, 15.44089
Kapfenberg, Steiermark, AT, 47.43944, 15.28944
Knittelfeld, Steiermark, AT, 47.21500, 14.82944
Leoben, Steiermark, AT, 47.38167, 15.09722
Trofaiach, Steiermark, AT, 47.42061, 15.01104
Hall in Tirol, Tirol, AT, 47.28333, 11.50000
Innsbruck, Tirol, AT, 47.26833, 11.39333
Kufstein, Tirol, AT, 47.58333, 12.16667
Lienz, Tirol, AT, 46.82830, 12.77140
Schwaz, Tirol, AT, 47.33906, 11.73357
Telfs, Tirol, AT, 47.30694, 11.07222
Wörgl, Tirol, AT, 47.48306, 12.06639
Bludenz, Vorarlberg, AT, 47.15333, 9.82194
